index,people,places,first,second
0,Hillary Clinton,A Dune,golf ball,disco ball
1,Oprah,A Valley,sewing machine,soccer ball
2,Lady Gaga,A Library,key,wrench
3,Brad Pitt,A Bridge,harmonica,windmill
4,Michael Jackson,A Restaurant,drum sticks,banjo
5,Julia Roberts,An Ice Rink,swing,microscope
6,Lady Diana,A Lecture Hall,funnel,measuring cup
7,Julianne Moore,An Indoor Pool,wheelchair,bullet
