people,place,index,first,second
Stephen Curry,Bikerack,0,paint brush,compass
Steve Jobs,Diner,1,wrench,rubik cube
Liam Neeson,Golf Course,2,candle,screw
Sean Connery,Sunflowers,3,cigarette,key
Charli Damelio,Basketball Court,4,staples,match
John Krasinski,Track,5,tennis ball,dart board
Ariana,Waiting Room,6,toothbrush,brick
Beyonce,Indoor Tennis Court,7,toolbox,book
Leonardo Dicaprio,Living Room,8,bird house,nutcracker
Sandra Oh,Field,9,anchor,dice
Emma Watson,Lab,10,nunchuks,skateboard
Idris Elba,Gym,11,button,lawn mower
Nelson Mandela,Bakery,12,scissors,trampoline
Melissa McCarthy,Beach,13,calculator,envelope
Steve Carell,Canyon,14,toilet paper,football
Samuel L. Jackson,Carousel,15,blender,handcuffs
Scarlett Johansson,Classroom,16,swing,dog house
Kevin Hart,Kitchen,17,locker,sewing machine
John F. Kennedy,Stream,18,hula hoop,ladder
Octavia Spencer,Racetrack,19,toaster,bowling pin
Bruce Willis,Rapids,20,scarf,violin
Halle Berry,Dentist,21,lighthouse,basketball
Reese Witherspoon,Cave,22,pool table,bow
Denzel Washington,Forest,23,banjo,wheel barrow
Taylor Swift,Highway,24,drum sticks,soccer ball
Zendaya,Church,25,lipstick,rake
,,26,ruler,helicopter
,,27,bumper car,iron
